Порядок n: 100
Коефіцієнти:
a_0 = 0.385565
a_1 = 0.648318, b_1 = -0.093341
a_2 = -0.620738, b_2 = 0.178741
a_3 = -0.145630, b_3 = 0.062901
a_4 = -0.070300, b_4 = 0.040486
a_5 = -0.042221, b_5 = 0.030394
a_6 = -0.028371, b_6 = 0.024508
a_7 = -0.020445, b_7 = 0.020605
a_8 = -0.015461, b_8 = 0.017808
a_9 = -0.012114, b_9 = 0.015697
a_10 = -0.009754, b_10 = 0.014043
a_11 = -0.008026, b_11 = 0.000000
a_12 = -0.006722, b_12 = 0.000000
a_13 = -0.005713, b_13 = 0.000000
a_14 = -0.004916, b_14 = 0.000000
a_15 = -0.004275, b_15 = 0.000000
a_16 = -0.003752, b_16 = 0.000000
a_17 = -0.003320, b_17 = 0.000000
a_18 = -0.002959, b_18 = 0.000000
a_19 = -0.002653, b_19 = 0.000000
a_20 = -0.002393, b_20 = 0.000000
a_21 = -0.002169, b_21 = 0.000000
a_22 = -0.001976, b_22 = 0.000000
a_23 = -0.001807, b_23 = 0.000000
a_24 = -0.001659, b_24 = 0.000000
a_25 = -0.001528, b_25 = 0.000000
a_26 = -0.001412, b_26 = 0.000000
a_27 = -0.001309, b_27 = 0.000000
a_28 = -0.001217, b_28 = 0.000000
a_29 = -0.001135, b_29 = 0.000000
a_30 = -0.001060, b_30 = 0.000000
a_31 = -0.000992, b_31 = 0.000000
a_32 = -0.000931, b_32 = 0.000000
a_33 = -0.000876, b_33 = 0.000000
a_34 = -0.000825, b_34 = 0.000000
a_35 = -0.000778, b_35 = 0.000000
a_36 = -0.000735, b_36 = 0.000000
a_37 = -0.000696, b_37 = 0.000000
a_38 = -0.000660, b_38 = 0.000000
a_39 = -0.000626, b_39 = 0.000000
a_40 = -0.000596, b_40 = 0.000000
a_41 = -0.000567, b_41 = 0.000000
a_42 = -0.000540, b_42 = 0.000000
a_43 = -0.000515, b_43 = 0.000000
a_44 = -0.000492, b_44 = 0.000000
a_45 = -0.000470, b_45 = 0.000000
a_46 = -0.000450, b_46 = 0.000000
a_47 = -0.000431, b_47 = 0.000000
a_48 = -0.000413, b_48 = 0.000000
a_49 = -0.000397, b_49 = 0.000000
a_50 = -0.000381, b_50 = 0.000000
a_51 = -0.000366, b_51 = 0.000000
a_52 = -0.000352, b_52 = 0.000000
a_53 = -0.000339, b_53 = 0.000000
a_54 = -0.000327, b_54 = 0.000000
a_55 = -0.000315, b_55 = 0.000000
a_56 = -0.000304, b_56 = 0.000000
a_57 = -0.000293, b_57 = 0.000000
a_58 = -0.000283, b_58 = 0.000000
a_59 = -0.000273, b_59 = 0.000000
a_60 = -0.000264, b_60 = 0.000000
a_61 = -0.000256, b_61 = 0.000000
a_62 = -0.000248, b_62 = 0.000000
a_63 = -0.000240, b_63 = 0.000000
a_64 = -0.000232, b_64 = 0.000000
a_65 = -0.000225, b_65 = 0.000000
a_66 = -0.000219, b_66 = 0.000000
a_67 = -0.000212, b_67 = 0.000000
a_68 = -0.000206, b_68 = 0.000000
a_69 = -0.000200, b_69 = 0.000000
a_70 = -0.000194, b_70 = 0.000000
a_71 = -0.000189, b_71 = 0.000000
a_72 = -0.000184, b_72 = 0.000000
a_73 = -0.000179, b_73 = 0.000000
a_74 = -0.000174, b_74 = 0.000000
a_75 = -0.000169, b_75 = 0.000000
a_76 = -0.000165, b_76 = 0.000000
a_77 = -0.000161, b_77 = 0.000000
a_78 = -0.000156, b_78 = 0.000000
a_79 = -0.000152, b_79 = 0.000000
a_80 = -0.000149, b_80 = 0.000000
a_81 = -0.000145, b_81 = 0.000000
a_82 = -0.000142, b_82 = 0.000000
a_83 = -0.000138, b_83 = 0.000000
a_84 = -0.000135, b_84 = 0.000000
a_85 = -0.000132, b_85 = 0.000000
a_86 = -0.000129, b_86 = 0.000000
a_87 = -0.000126, b_87 = 0.000000
a_88 = -0.000123, b_88 = 0.000000
a_89 = -0.000120, b_89 = 0.000000
a_90 = -0.000117, b_90 = 0.000000
a_91 = -0.000115, b_91 = 0.000000
a_92 = -0.000112, b_92 = 0.000000
a_93 = -0.000110, b_93 = 0.000000
a_94 = -0.000108, b_94 = 0.000000
a_95 = -0.000105, b_95 = 0.000000
a_96 = -0.000103, b_96 = 0.000000
a_97 = -0.000101, b_97 = 0.000000
a_98 = -0.000099, b_98 = 0.000000
a_99 = -0.000097, b_99 = 0.000000
a_100 = -0.000095, b_100 = 0.000000
Відносна похибка наближення: 0.076802
Абсолютна похибка наближення: 0.013790
